player_id,player,nationality,squad,birth_year,value,height,position,foot,league,games,games_starts,minutes,goals_2018,goals_2019,pens_2018,pens_2019,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Ibrahima Mbaye,sn SEN,Bologna,1994,3300000,188,Defender - Right-Back,right,Serie A,25,18,1760,1,0,0,0,4,2,0.05,0,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Antonio Mirante,it ITA,Bologna,1983,1000000,193,Goalkeeper,right,Serie A,33,33,2970,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,ÃdÃ¡m Nagy,hu HUN,Bologna,1995,2800000,178,midfield - Defensive Midfield,right,Serie A,12,8,711,1,0,0,0,1,0,0.13,0,0.13,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,OtÃ¡vio,br BRA,Bordeaux,1994,6500000,173,midfield - Defensive Midfield,right,Ligue 1,21,19,1484,0,0,0,0,5,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Yeray Ãlvarez,es ESP,Athletic Club,1995,15000000,182,Defender - Centre-Back,right,La Liga,8,7,675,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,ThÃ©o Pellenard,fr FRA,Bordeaux,1994,2000000,182,Defender - Left-Back,left,Ligue 1,19,16,1428,0,1,0,0,4,0,0,0.06,0.06,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Maxime PoundjÃ©,fr FRA,Bordeaux,1992,4500000,179,Defender - Left-Back,left,Ligue 1,19,19,1703,0,1,0,0,5,0,0,0.05,0.05,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Nicolas de PrÃ©ville,fr FRA,Bordeaux,1991,7000000,182,attack - Centre-Forward,right,Ligue 1,29,22,1934,4,4,0,1,6,0,0.19,0.19,0.37,0.19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,JÃ©rÃ´me Prior,fr FRA,Bordeaux,1995,2500000,187,Goalkeeper,both,Ligue 1,2,2,180,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,Youssouf Sabaly,sn SEN,Bordeaux,1993,7000000,173,Defender - Right-Back,right,Ligue 1,35,35,3092,0,5,0,0,3,0,0,0.15,0.15,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Giacomo Bonaventura,it ITA,Milan,1989,23000000,180,midfield - Central Midfield,right,Serie A,33,30,2541,8,2,0,0,3,0,0.28,0.07,0.35,0.28,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,Thomas TourÃ©,ci CIV,Bordeaux,1993,1500000,175,attack - Left Winger,right,Ligue 1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,MatÃ­as Vecino,uy URU,Inter,1991,21000000,187,midfield - Central Midfield,right,Serie A,29,25,2137,3,2,0,0,7,1,0.13,0.08,0.21,0.13,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Unai NÃºÃ±ez,es ESP,Athletic Club,1997,15000000,186,Defender - Centre-Back,right,La Liga,32,32,2850,1,0,0,0,11,0,0.03,0,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,Jack Wilshere,eng ENG,Arsenal,1992,20000000,172,midfield - Central Midfield,left,Premier League,20,12,1193,1,3,0,0,6,0,0.08,0.23,0.3,0.08,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
